latlong
"(34.07972, -118.44165)"
"(34.05144, -118.24736)"
"(34.29526, -118.45442)"
"(33.77971, -118.24145)"
"(34.02753, -118.28089)"
"(34.07629, -118.43071)"
"(34.17706, -118.60339)"
"(34.12091, -118.41587)"
"(33.77966, -118.24192)"
"(34.06278, -118.49941)"
"(34.20086, -118.58781)"
"(34.06815, -118.24238)"
"(33.99203, -118.47369)"
"(34.08829, -118.33879)"
"(34.06306, -118.44116)"
"(34.08005, -118.33401)"
"(34.03468, -118.23965)"
"(34.10436, -118.33763)"
"(34.14203, -118.22081)"
"(34.04215, -118.23376)"
"(34.10138, -118.33896)"
"(34.0554, -118.38583)"
"(33.93208, -118.40881)"
"(34.03806, -118.37594)"
"(34.0884, -118.37623)"
"(34.042, -118.44149)"
"(34.02292, -118.28182)"
"(34.12449, -118.2079)"
"(34.13672, -118.41203)"
"(34.09049, -118.32049)"
"(34.02709, -118.27933)"
"(34.10239, -118.32648)"
"(34.07632, -118.34953)"
"(34.02825, -118.28195)"
"(34.04518, -118.26774)"
"(34.06624, -118.19673)"
"(33.98238, -118.44062)"
"(34.21259, -118.44646)"
"(34.04606, -118.26252)"
"(34.0836, -118.36657)"
"(34.20001, -118.49769)"
"(34.14051, -118.18382)"
"(34.04126, -118.25361)"
"(34.05258, -118.28496)"
"(34.23537, -118.46908)"
"(34.08845, -118.22244)"
"(34.20134, -118.52792)"
"(34.03238, -118.32188)"
"(34.18283, -118.57117)"
"(33.96791, -118.292)"
"(34.13826, -118.21178)"
"(33.99574, -118.25623)"
"(33.93574, -118.25399)"
"(34.07288, -118.28374)"
"(34.06449, -118.30891)"
"(34.04016, -118.30879)"
"(34.04532, -118.25131)"
"(34.07669, -118.49972)"
"(34.13277, -118.48437)"
"(34.09119, -118.44718)"
"(34.26189, -118.42756)"
"(34.07727, -118.48084)"
"(34.04047, -118.40355)"
"(34.04038, -118.25933)"
"(34.11514, -118.41718)"
"(34.11878, -118.4163)"
"(34.0628, -118.30928)"
"(34.04226, -118.2455)"
"(34.06843, -118.4277)"
"(34.09146, -118.44948)"
