,ASSETID,the_geom,INT_ID_FRO,INT_ID_TO,STNUM,MAPSHEET,ID,ADRF,ADRT,ZIP_R,ADLF,ADLT,ZIP_L,TDIR,STNAME,STSFX,SFXDIR,STNAME_A,STSFX_A,SECT_ID,SHAPE_Leng,SYMBOL,STREET_DES,PLANNING_S,TOOLTIP
355,469,"MULTILINESTRING ((-118.43029588746899 34.09466044455323, -118.43037060860328 34.09460052342974, -118.43037915044945 34.09459327120311, -118.43038701358024 34.09458684432952, -118.43039498921273 34.09458055015564, -118.43040309448342 34.094574375739654, -118.43041133109041 34.09456831678185, -118.43041969216743 34.0945623761691, -118.43042817431073 34.09455656106949, -118.43043677406502 34.094550868632815, -118.43044549662798 34.094545305996625, -118.43045433164855 34.09453986747289, -118.43046328258934 34.09453455734289, -118.43047234603198 34.094529379912316, -118.43048150819953 34.09452433236793, -118.43049078287632 34.09451941895407, -118.4305001597555 34.09451464256984, -118.43050962335457 34.09451000327048, -118.4305171589576 34.09450645711582, -118.43052876104574 34.094501179038765, -118.43053860505445 34.09449691764772, -118.43054844480031 34.094492830876575, -118.43055836795835 34.094488906963434, -118.43056836918355 34.09448511014741, -118.43057885901693 34.094481321607624, -118.43082738500996 34.09439359659449, -118.43083221222734 34.09439193637179, -118.43083979280664 34.094389444825815, -118.4308475217638 34.094387037190614, -118.43085529597106 34.094384731008276, -118.43086312069995 34.09438254772782, -118.43087099070853 34.094380471624895, -118.43087890089497 34.094378514167225, -118.43088684952438 34.09437667249853, -118.43089483657457 34.09437494232534, -118.43090286380274 34.0943733307974, -118.43091091573385 34.09437183940102, -118.43091900435826 34.09437045807507, -118.43092711771521 34.094369202605314, -118.43093525228302 34.09436805726127, -118.43094341673687 34.09436703632389, -118.43095160242378 34.09436612980566, -118.43095979561859 34.09436534491147, -118.4309680100686 34.09436467872997, -118.43097623717999 34.094364132722895, -118.43098447692324 34.09436370116573, -118.43099242485157 34.09436406066745, -118.43099725467769 34.09436390890629, -118.43100536167074 34.094363755472656, -118.43101359140043 34.09436371752726, -118.43102181658159 34.09436379838657, -118.43103003722896 34.0943640009129, -118.43103825157807 34.09436431652538, -118.4310464614378 34.09436476239187, -118.43105465639059 34.09436531994409, -118.43106284507466 34.09436599630711, -118.43107101201511 34.0943667929674, -118.43107916407088 34.09436770560684, -118.43108729265536 34.09436873711851, -118.43109539605577 34.09436988893971, -118.4311034828513 34.094371156746234, -118.43111153758169 34.094372544886895, -118.43111955847506 34.09437404334957, -118.43112754730338 34.094375662146405, -118.4311355023169 34.0943773955588, -118.43114342696349 34.09437924500564, -118.43115130060004 34.09438121056066, -118.43115913010026 34.09438329076811, -118.43116692921156 34.09438548271655))",12935,12934,7936,144B157,22208,10011,10039,90210,10010,10038,90210,W,CIELO,DR,,,,1159000,295.370938379,4,Local Street,,CIELO DR  \nStreet Designation: Local Street
356,470,"MULTILINESTRING ((-118.41253067291063 33.990714400757184, -118.41297423045657 33.990398028754306, -118.41406410420831 33.989620611423696))",10900,10899,6017,108B161,18841,12001,12015,90230,12000,12014,90230,W,HAVELOCK,AVE,,,,2508900,611.981885089,4,Local Street,,HAVELOCK AVE  \nStreet Designation: Local Street
357,471,"MULTILINESTRING ((-118.43243761573018 33.98842879884666, -118.43285039700717 33.98822736796128, -118.4332919884616 33.98801186241193))",10923,10931,2641,108B153,18880,12927,12937,90066,12926,12940,90066,W,SHORT,AVE,,,,4984100,300.170770028,2,Secondary Highway,,SHORT AVE  \nStreet Designation: Secondary Highway
358,1716,"MULTILINESTRING ((-118.58844208196396 34.19377625106347, -118.59059225492011 34.19377288244509))",31228,31227,1927,183B109,74203,20901,20999,91303,20900,20998,91303,W,VANOWEN,ST,,,,5550800,650.212960942,0,,,
359,472,"MULTILINESTRING ((-118.41906729925486 34.028356020578784, -118.419038324217 34.028340813166885, -118.41883929802202 34.02823983937824, -118.41869759341576 34.028165588553954, -118.4186628311382 34.02814769188463, -118.41863105721207 34.0281309899032, -118.41860217389345 34.028115186695075, -118.41857362713507 34.02809896726869, -118.41854542554604 34.028082334456755, -118.41851757947579 34.0280652953797, -118.41849008892444 34.02804785003758, -118.41846297459789 34.028030014102136, -118.41844622145638 34.028018594043616, -118.41843623474868 34.028011781854794, -118.41840988148805 34.027993168996936, -118.41838391995132 34.02797417121747, -118.41835836053069 34.027954804223675, -118.41833321522286 34.027935060818365, -118.41830848757297 34.02791496245726, -118.4182841810045 34.02789450626639, -118.41826031101621 34.02787369791712, -118.41823687593218 34.02785254600259, -118.4182138929913 34.02783106048168, -118.418191358763 34.02780924279771, -118.41816928702697 34.027787098627975, -118.41814768641328 34.02776463509871, -118.41812655871233 34.02774186651593, -118.41810590734744 34.02771879000561, -118.41808574787427 34.027695422688375, -118.4180660802784 34.02767176170215, -118.41804646350923 34.02764726186067, -118.41687818167549 34.02616011424792))",11962,11961,6353,120B161,20253,3201,3299,90034,3200,3298,90034,S,GLENDON,AVE,,,,2229400,1053.75614219,4,Local Street,,GLENDON AVE  \nStreet Designation: Local Street
360,473,"MULTILINESTRING ((-118.42461383730401 34.01298426605138, -118.42461414886525 34.01298334613327, -118.42461561440949 34.01297851501482, -118.42461627232817 34.012976081113486, -118.42461688036391 34.01297363880053, -118.42461793648216 34.012968730407046, -118.42461878620887 34.01296379125355, -118.42461913972495 34.01296131691861, -118.42461967993688 34.01295634593658, -118.42462000871038 34.0129513656801, -118.42462010093415 34.01294887938366, -118.42462011513894 34.01294388735308, -118.42462004750409 34.01294139589428, -118.42461975584203 34.012936413526845, -118.4246195266881 34.012933928360965, -118.42461892061715 34.01292896570498, -118.42461810840904 34.012924022379586, -118.42461761470739 34.012921561043385, -118.42461649854 34.01291666458525, -118.42461585889565 34.01291423095495, -118.42461516599653 34.01291180180558, -118.42461363430655 34.01290698123089, -118.42461190347002 34.01290220286118, -118.42460996842559 34.01289748531963, -118.42460893053178 34.01289514468628, -118.42460670205048 34.012890515479356, -118.42460428657643 34.012885952764776, -118.42460300506329 34.01288369599714, -118.4246016755529 34.01288146372861, -118.4245993521416 34.012877770851844, -118.42453086644353 34.01277371398525, -118.42451678366452 34.0127519536555, -118.42448900740558 34.01270792641312, -118.42446216065694 34.01266350231945, -118.42443624865307 34.01261869709975, -118.42442750838484 34.01260289317966, -118.42439904942877 34.012550631836355, -118.4243755149444 34.01250492804633, -118.4243529377454 34.0124588831263, -118.42433133342102 34.012412521352154, -118.42431069686506 34.01236585276069, -118.42429104531986 34.01231888874127, -118.42427237886386 34.01227164503718, -118.42425471317311 34.01222416309816, -118.42423922064302 34.01217989368953, -118.4242379382129 34.01217609553304, -118.42422235958603 34.012128398732116, -118.42420769956095 34.01208019062959, -118.42419404732877 34.01203177575524, -118.42418141326449 34.01198316695347, -118.42416980260924 34.01193438138057, -118.42415921030712 34.01188543909113, -118.42414143401403 34.011791680095016, -118.42413847974517 34.011775062945915, -118.42413375457606 34.0117457502351, -118.42412963159948 34.01171623217964, -118.42412612536104 34.01168666615897, -118.42412372885833 34.011662092512616, -118.42412323754975 34.011657046442565, -118.42412097170347 34.01162739305451, -118.42411933129509 34.01159771313873, -118.42411831120437 34.011568013869045, -118.42411790972666 34.011538298113905, -118.42411813726693 34.01150858444214, -118.42411898354217 34.01147887861466, -118.42412277789673 34.011402160818))",12056,12069,8788,114B157,20428,3625,3699,90066,3600,3698,90066,S,BERRYMAN,AVE,,,,0562100,603.735073889,4,Local Street,,BERRYMAN AVE  \nStreet Designation: Local Street
361,474,"MULTILINESTRING ((-118.36268857274956 34.08551666187144, -118.36269828703159 34.0868257310558, -118.362700994592 34.08719064315743))",13370,13371,5999,141B177,22750,800,898,90046,801,899,90046,N,HAYWORTH,AVE,,,,2530300,609.205130103,4,Local Street,,HAYWORTH AVE  \nStreet Designation: Local Street
362,475,"MULTILINESTRING ((-118.35531033299786 34.08534953880997, -118.35635108629572 34.08535835937782))",13382,13381,1699,141B177,22776,7601,7649,90046,7600,7648,90046,W,WARING,AVE,,,,5803900,315.14843603599996,4,Local Street,,WARING AVE  \nStreet Designation: Local Street
363,476,"MULTILINESTRING ((-118.37647164252952 34.08530975359124, -118.37644954646375 34.08682162510876, -118.37644709108196 34.08698960574997))",13080,13069,5344,141B173,22781,800,898,90069,761,869,90069,N,LA CIENEGA,BLVD,,,,3009000,611.37524333,1,Major Highway - Class II,,LA CIENEGA BLVD  \nStreet Designation: Major Highway - Class II
364,477,"MULTILINESTRING ((-118.34743846606129 34.08528351464905, -118.34865613163872 34.08529543906661))",13087,13085,1699,141B181,22785,7251,7299,90046,7250,7298,90046,W,WARING,AVE,,,,5803200,368.72558541,4,Local Street,,WARING AVE  \nStreet Designation: Local Street
