,FID,OBJECTID,NameInt,Seg_ID_Sco,Seg_Bk_Sco,Seg_LL_Sco,Seg_Wd_Sco,Ones,Twos,Threes,Pop2015,GridNormSc,CSScore,Shape_Leng,Shape_Area,GridScore,Shape__Area,Shape__Length
37,38,38,1792,0,8,11,1,49,14,0,4086.28261166,22.9508196721,0.8076923042749999,6016.22913556,2066682.22527,1,0.000137896711635,0.05073966340807701
38,39,39,1112,0,5,1,0,65,6,0,5373.34017048,9.83606557377,0.346153844689,8478.25336878,1948267.66995,1,0.00013014356534599999,0.06995824883651401
39,40,40,1113,0,2,1,0,61,3,0,3815.31635672,4.9180327868900005,0.173076922345,8441.28636499,2129028.93402,1,0.000142205407681,0.06774128241352599
40,41,41,1793,0,1,1,0,26,2,0,4251.775745800001,3.2786885245899997,0.115384614896,4652.39458472,1239980.54771,1,8.2734338316e-05,0.037082670480199
41,42,42,1115,0,1,0,0,62,1,0,4514.4887857,1.6393442622999999,0.057692307448199996,5327.75975142,1273833.60462,1,8.5083261583e-05,0.045516587265483
42,43,43,1794,0,2,5,0,54,5,0,6905.05361801,8.19672131148,0.288461537241,6681.28096406,2412034.40613,1,0.00016093835155200003,0.056112079273879005
43,44,44,1531,0,5,0,0,45,5,0,4080.55051136,8.19672131148,0.288461537241,4946.02051669,1388408.4873600001,1,9.269509236599999e-05,0.039894681364597
44,45,45,1469,0,1,0,0,49,1,0,4208.81591575,1.6393442622999999,0.057692307448199996,9030.04432984,1325004.7253700001,1,8.866932586000001e-05,0.075961656788744
45,46,46,1532,0,9,3,0,43,10,0,6209.66392079,16.393442623,0.576923074482,6423.23064159,1866244.5844599998,1,0.000124588585063,0.05037099722340099
46,47,47,441,0,1,0,0,7,1,0,809.0113116839999,1.6393442622999999,0.057692307448199996,5088.2547987,1199193.4477799998,1,8.0171541303e-05,0.042227635477943004
47,48,48,1979,0,6,0,0,26,6,0,2241.54314687,9.83606557377,0.346153844689,4082.91735389,831266.2400100001,1,5.5458947194e-05,0.033332878951593994
48,49,49,146,0,0,3,0,4,3,0,750.18326252,4.9180327868900005,0.173076922345,919.9837511410001,53876.6875386,1,3.6024398769999997e-06,0.007597432787392
49,50,50,562,0,1,0,0,79,1,0,3482.18162751,1.6393442622999999,0.057692307448199996,4552.78642976,1103466.4346399999,1,7.4054486805e-05,0.036819177025816004
50,51,51,241,0,3,2,0,7,5,0,4353.95960163,8.19672131148,0.288461537241,2090.36599843,249150.336744,1,1.6655494695e-05,0.016847218878218002
