,OBJECTID,TRACTCE10,POP,LATPOP_D,WHIPOP_D,BLAPOP_D,AMIPOP_D,ASIPOP_D,HPIPOP_D,OTHPOP_D,MMRPOP_D,VAP,LATVAP_D,WHIVAP_D,BLAVAP_D,AMIVAP_D,ASIVAP_D,HPIVAP_D,OTHVAP_D,MMRVAP_D,H0010001,H0010002,H0010003,TOOLTIP,NLA_URL
155,156,121210,3122,2208,343,37,12,508,2,7,5,2376,1577,304,36,11,441,2,1,4,799,759,40,Tract: 1212.10\nTotal Population: 3122,navigatela/reports/census_tracts_2010.cfm?PK=121210
156,157,121221,2365,1969,183,30,5,153,7,15,3,1721,1383,171,16,4,134,5,8,0,564,536,28,Tract: 1212.21\nTotal Population: 2365,navigatela/reports/census_tracts_2010.cfm?PK=121221
157,158,121222,5293,4500,342,168,10,243,5,5,20,3466,2844,265,119,9,212,4,4,9,1270,1198,72,Tract: 1212.22\nTotal Population: 5293,navigatela/reports/census_tracts_2010.cfm?PK=121222
158,159,121600,3005,1084,1107,60,5,707,8,15,19,2398,787,935,52,3,587,8,9,17,851,827,24,Tract: 1216.00\nTotal Population: 3005,navigatela/reports/census_tracts_2010.cfm?PK=121600
159,160,121801,3942,2990,521,153,23,226,9,9,11,2818,2058,406,128,18,183,7,8,10,1215,1101,114,Tract: 1218.01\nTotal Population: 3942,navigatela/reports/census_tracts_2010.cfm?PK=121801
160,161,121802,3525,2385,611,198,10,296,9,7,9,2603,1655,522,164,8,230,8,7,9,736,708,28,Tract: 1218.02\nTotal Population: 3525,navigatela/reports/census_tracts_2010.cfm?PK=121802
161,162,121900,4110,3239,535,43,25,247,4,11,6,3099,2348,463,38,21,213,4,7,5,1072,1002,70,Tract: 1219.00\nTotal Population: 4110,navigatela/reports/census_tracts_2010.cfm?PK=121900
162,163,122000,5446,1987,2258,74,21,1054,9,27,16,4339,1454,1888,60,19,875,9,19,15,1538,1463,75,Tract: 1220.00\nTotal Population: 5446,navigatela/reports/census_tracts_2010.cfm?PK=122000
163,164,122120,5000,4305,365,35,17,253,2,14,9,3501,2924,309,27,14,211,2,7,7,1132,1095,37,Tract: 1221.20\nTotal Population: 5000,navigatela/reports/census_tracts_2010.cfm?PK=122120
164,165,122121,2833,2248,283,37,3,243,10,4,5,2053,1565,243,30,2,200,8,0,5,738,703,35,Tract: 1221.21\nTotal Population: 2833,navigatela/reports/census_tracts_2010.cfm?PK=122121
165,166,122122,2439,1959,307,113,9,44,2,0,5,1692,1329,243,71,8,36,2,0,3,660,619,41,Tract: 1221.22\nTotal Population: 2439,navigatela/reports/census_tracts_2010.cfm?PK=122122
166,167,122200,4141,3577,370,29,8,142,1,11,3,2905,2442,304,25,8,120,1,3,2,973,921,52,Tract: 1222.00\nTotal Population: 4141,navigatela/reports/census_tracts_2010.cfm?PK=122200
167,168,122410,3794,3157,289,179,2,142,2,10,13,2643,2115,259,131,2,120,0,10,6,1137,1046,91,Tract: 1224.10\nTotal Population: 3794,navigatela/reports/census_tracts_2010.cfm?PK=122410
168,169,122420,5050,4037,469,169,10,347,1,9,8,3643,2752,413,147,10,305,1,9,6,1350,1304,46,Tract: 1224.20\nTotal Population: 5050,navigatela/reports/census_tracts_2010.cfm?PK=122420
169,170,123010,4580,4142,236,43,11,86,29,23,10,3066,2726,191,34,5,68,21,13,8,1038,986,52,Tract: 1230.10\nTotal Population: 4580,navigatela/reports/census_tracts_2010.cfm?PK=123010
170,171,123020,3432,3019,219,21,4,150,4,10,5,2467,2128,184,19,4,120,2,6,4,781,741,40,Tract: 1230.20\nTotal Population: 3432,navigatela/reports/census_tracts_2010.cfm?PK=123020
171,172,123103,4165,2586,1056,130,10,316,13,23,31,3122,1790,912,114,9,259,8,10,20,1523,1437,86,Tract: 1231.03\nTotal Population: 4165,navigatela/reports/census_tracts_2010.cfm?PK=123103
172,173,123104,4596,2924,1131,186,18,293,12,11,21,3512,2065,1001,145,14,247,11,10,19,1605,1516,89,Tract: 1231.04\nTotal Population: 4596,navigatela/reports/census_tracts_2010.cfm?PK=123104
173,174,123203,3765,3080,349,155,6,136,1,33,5,2528,1979,312,103,6,107,1,17,3,1098,1035,63,Tract: 1232.03\nTotal Population: 3765,navigatela/reports/census_tracts_2010.cfm?PK=123203
174,175,123204,3449,2678,466,141,5,122,7,23,7,2383,1747,415,95,5,94,7,14,6,1056,993,63,Tract: 1232.04\nTotal Population: 3449,navigatela/reports/census_tracts_2010.cfm?PK=123204
175,176,123205,2645,2194,285,64,3,79,1,10,9,1841,1456,256,46,3,69,1,3,7,737,702,35,Tract: 1232.05\nTotal Population: 2645,navigatela/reports/census_tracts_2010.cfm?PK=123205
176,177,123206,2945,2504,255,72,5,96,3,8,2,2113,1749,211,53,5,84,3,7,1,910,880,30,Tract: 1232.06\nTotal Population: 2945,navigatela/reports/census_tracts_2010.cfm?PK=123206
177,178,123301,4559,2077,1032,226,11,1166,5,22,20,3580,1454,896,177,10,1004,5,19,15,1565,1504,61,Tract: 1233.01\nTotal Population: 4559,navigatela/reports/census_tracts_2010.cfm?PK=123301
178,179,123303,3301,1988,876,106,2,294,5,11,19,2460,1388,732,74,2,236,5,11,12,951,919,32,Tract: 1233.03\nTotal Population: 3301,navigatela/reports/census_tracts_2010.cfm?PK=123303
179,180,123304,4687,2381,1839,161,11,253,20,15,7,3603,1670,1549,135,8,208,17,9,7,1721,1647,74,Tract: 1233.04\nTotal Population: 4687,navigatela/reports/census_tracts_2010.cfm?PK=123304
180,181,123410,4247,2428,1350,129,8,279,8,25,20,3164,1660,1136,97,7,233,8,12,11,1294,1225,69,Tract: 1234.10\nTotal Population: 4247,navigatela/reports/census_tracts_2010.cfm?PK=123410
181,182,123420,4638,2641,1521,94,10,340,2,23,7,3331,1730,1227,70,7,275,1,14,7,1419,1355,64,Tract: 1234.20\nTotal Population: 4638,navigatela/reports/census_tracts_2010.cfm?PK=123420
182,183,123510,4753,2371,1763,149,11,414,15,11,19,3578,1607,1472,118,9,337,12,8,15,1623,1523,100,Tract: 1235.10\nTotal Population: 4753,navigatela/reports/census_tracts_2010.cfm?PK=123510
183,184,123520,2567,1326,979,78,7,148,9,12,8,2000,978,816,59,7,119,9,7,5,857,820,37,Tract: 1235.20\nTotal Population: 2567,navigatela/reports/census_tracts_2010.cfm?PK=123520
184,185,123601,4995,1664,2760,218,16,307,5,11,14,4000,1232,2321,163,13,249,5,7,10,1895,1789,106,Tract: 1236.01\nTotal Population: 4995,navigatela/reports/census_tracts_2010.cfm?PK=123601
185,186,123602,3332,1266,1662,113,7,247,0,12,25,2628,875,1418,93,7,208,0,9,18,1332,1257,75,Tract: 1236.02\nTotal Population: 3332,navigatela/reports/census_tracts_2010.cfm?PK=123602
186,187,123700,4114,1212,2332,145,10,360,21,8,26,3269,883,1916,119,8,306,15,5,17,1547,1458,89,Tract: 1237.00\nTotal Population: 4114,navigatela/reports/census_tracts_2010.cfm?PK=123700
187,188,123800,5531,1494,3339,264,29,335,30,26,14,4437,1125,2731,209,29,287,26,19,11,2396,2253,143,Tract: 1238.00\nTotal Population: 5531,navigatela/reports/census_tracts_2010.cfm?PK=123800
188,189,123901,4500,2461,1498,201,26,275,4,22,13,3450,1736,1283,167,22,214,4,15,9,1532,1452,80,Tract: 1239.01\nTotal Population: 4500,navigatela/reports/census_tracts_2010.cfm?PK=123901
189,190,123902,2561,758,1314,138,16,308,4,11,12,2122,565,1165,103,12,256,4,9,8,1114,1068,46,Tract: 1239.02\nTotal Population: 2561,navigatela/reports/census_tracts_2010.cfm?PK=123902
190,191,124000,4550,552,3480,177,15,271,2,27,26,3689,420,2864,141,13,215,2,20,14,2160,2050,110,Tract: 1240.00\nTotal Population: 4550,navigatela/reports/census_tracts_2010.cfm?PK=124000
191,192,124102,3549,1889,1123,225,12,261,1,15,23,2770,1307,1017,192,12,221,1,9,11,1433,1336,97,Tract: 1241.02\nTotal Population: 3549,navigatela/reports/census_tracts_2010.cfm?PK=124102
192,193,124103,2030,1523,371,39,5,73,5,10,4,1493,1049,330,35,5,58,4,8,4,607,575,32,Tract: 1241.03\nTotal Population: 2030,navigatela/reports/census_tracts_2010.cfm?PK=124103
193,194,124104,2439,1471,661,174,13,92,7,3,18,1877,1022,593,147,13,83,6,2,11,999,963,36,Tract: 1241.04\nTotal Population: 2439,navigatela/reports/census_tracts_2010.cfm?PK=124104
194,195,124105,2658,1602,777,109,3,121,10,25,11,1966,1076,660,94,3,101,8,16,8,925,888,37,Tract: 1241.05\nTotal Population: 2658,navigatela/reports/census_tracts_2010.cfm?PK=124105
195,196,124201,3506,2029,1073,94,8,260,9,23,10,2728,1465,936,76,5,217,4,16,9,1140,1094,46,Tract: 1242.01\nTotal Population: 3506,navigatela/reports/census_tracts_2010.cfm?PK=124201
196,197,124203,2748,2080,445,72,13,110,5,15,8,2034,1465,395,56,10,90,5,10,3,876,823,53,Tract: 1242.03\nTotal Population: 2748,navigatela/reports/census_tracts_2010.cfm?PK=124203
197,198,124204,3071,1963,712,151,10,199,12,12,12,2341,1371,639,131,9,167,10,5,9,1076,1020,56,Tract: 1242.04\nTotal Population: 3071,navigatela/reports/census_tracts_2010.cfm?PK=124204
198,199,124300,4046,2816,891,110,8,204,4,6,7,3062,1962,810,92,7,177,3,6,5,1385,1306,79,Tract: 1243.00\nTotal Population: 4046,navigatela/reports/census_tracts_2010.cfm?PK=124300
