,the_geom,meterArea,timeLimit,peakHour,meterHours,passLoad,noParking
34,"MULTIPOLYGON (((-118.24500778886579 34.05047467802758, -118.24514692033571 34.050581018455524, -118.24478332540066 34.0509745995517, -118.24451945146426 34.051003286058915, -118.24500778886579 34.05047467802758)))",201 S. MAIN ST,120,TANS 4P-6P xSS,"8A-4P, 6P-8P MON-FRI, 8A-8P SAT",,3A-5A NIGHTLY
35,"MULTIPOLYGON (((-118.25110541788797 34.04554741651852, -118.2511601016927 34.045488762205224, -118.25131203068999 34.045325788789334, -118.25147077222513 34.045410988451565, -118.25130874832438 34.04558478769615, -118.25124397278736 34.04565426769305, -118.25110541788797 34.04554741651852)))",600 S. SPRING ST,120,"TANS 7A-9A, 4P-6P xSS","9A-4P, 6P-8P MON-FRI, 8A-8P SAT",8P-3A,
36,"MULTIPOLYGON (((-118.25124397278736 34.04565426769305, -118.25096287613552 34.0459557850262, -118.25092970465504 34.0457358926056, -118.25108523102162 34.04556906773161, -118.25124397278736 34.04565426769305)))",600 S. SPRING ST,120,"TANS 7A-9A, 4P-6P xSS","9A-4P, 6P-8P MON-FRI, 8A-8P SAT",,
37,"MULTIPOLYGON (((-118.24784636656564 34.04768008747021, -118.24754651106473 34.04800080447151, -118.2474592181337 34.04809416910008, -118.24719425394557 34.048122531210616, -118.24739802901027 34.047904603632794, -118.24770801358603 34.047573086337216, -118.24784636656564 34.04768008747021)))",401 S. MAIN ST,120,TANS 4P-6P xSS,"8A-4P, 6P-8P MON-FRI, 8A-8P SAT",,3A-5A NIGHTLY
38,"MULTIPOLYGON (((-118.24536640764849 34.05134930540207, -118.24526395396349 34.05148139473637, -118.24506664642789 34.051353785849045, -118.24528613385213 34.05129739637023, -118.24533116918164 34.05132651472963, -118.24536640764849 34.05134930540207)))",100 W. 2ND ST,120,"TANS 7A-9A, 4P-6P xSS","9A-4P, 6P-8P MON-FRI, 8A-8P SAT",,
39,"MULTIPOLYGON (((-118.24557322482184 34.051483063427504, -118.2456064735159 34.05170291598228, -118.24526395396349 34.05148139473637, -118.24539240817828 34.05136611898748, -118.24557322482184 34.051483063427504)))",100 W. 2ND ST,120,"TANS 7A-9A, 4P-6P xSS","9A-4P MON-FRI, 8A-6P SAT",6P-2A,
40,"MULTIPOLYGON (((-118.25021636818903 34.04476289913627, -118.25109041598499 34.043936306694754, -118.25135975504008 34.04391864358906, -118.25034672845382 34.04487667095615, -118.25021636818903 34.04476289913627)))",600 S. MAIN ST,120,,8A-8P X-SUN,,2A-5A NIGHTLY
41,"MULTIPOLYGON (((-118.25034672845382 34.04487667095615, -118.24992514949301 34.04527535587153, -118.24990821198591 34.04505432219163, -118.25019461667998 34.04478347078173, -118.25034672845382 34.04487667095615)))",600 S. MAIN ST,120,,8A-6P X-SUN,6P-2A,2A-5A NIGHTLY
42,"MULTIPOLYGON (((-118.24719425394557 34.048122531210616, -118.2474592181337 34.04809416910008, -118.24751209308533 34.048127884244785, -118.24785643447403 34.04834743334452, -118.24825848774927 34.04860124965941, -118.2482930452925 34.04881964514249, -118.24774272968811 34.04847223029744, -118.24739767699478 34.04825222618281, -118.24719425394557 34.048122531210616)))",100 W. 4TH ST,120,"TANS 7A-9A, 4P-6P xSS","9A-4P, 6P-8P MON-FRI, 8A-8P SAT",,3A-5A NIGHTLY
43,"MULTIPOLYGON (((-118.2540605033658 34.042377446901824, -118.25408617342187 34.04234990596387, -118.25500036693498 34.041589751316046, -118.25490692814236 34.04172491289322, -118.2545068692851 34.04215408346105, -118.25419905678969 34.04248429466839, -118.2540605033658 34.042377446901824)))",800 S. SPRING ST,120,"TANS 7A-9A, 4P-6P xSS","9A-4P MON-FRI, 8A-6P SAT",6P-2A,
44,"MULTIPOLYGON (((-118.248276671399 34.04721983412467, -118.24786659444139 34.04765845320209, -118.24770801358603 34.047573086337216, -118.24812818993166 34.04712364792674, -118.248276671399 34.04721983412467)))",401 S. MAIN ST,120,TANS 4P-6P xSS,"8A-4P, 6P-8P MON-FRI, 8A-8P SAT",,3A-5A NIGHTLY
45,"MULTIPOLYGON (((-118.2465271319348 34.04858219822808, -118.24694517143558 34.048134147727325, -118.24719425394557 34.048122531210616, -118.24666564321146 34.04868909322946, -118.2465271319348 34.04858219822808)))",300 S. MAIN ST,15,,8A-8P X-SUN,,
